Date;Time UTC;Latitude;Longitude;Depth;Depth Type;Magnitude Type;Magnitude;Region Name;Last Update;Eqid;
2019-04-05;16:14:19;-55.91;-27.92;60; ;Mw;6.5;SOUTH SANDWICH ISLANDS REGION;2019-04-06 07:26;756405;
2019-04-02;21:35:32;52.17;178.07;19; ;Mw;6.4;RAT ISLANDS, ALEUTIAN ISLANDS;2019-04-03 06:49;755690;
2019-04-01;18:39:08;-18.13;65.42;10;f;Mw;6.0;MAURITIUS - REUNION REGION;2019-04-02 07:04;755312;
2019-03-31;07:04:03;-1.95;-80.87;10;f;Mw;6.2;NEAR COAST OF ECUADOR;2019-03-31 16:51;754856;
2019-03-30;11:20:45;-5.63;151.04;68; ;Mw;6.2;NEW BRITAIN REGION, P.N.G.;2019-03-30 22:44;754702;
2019-03-28;22:06:49;50.52;159.94;10;f;Mw;6.1;EAST OF KURIL ISLANDS;2019-03-28 22:32;754390;
2019-03-24;04:37:36;1.67;126.42;52; ;Mw;6.1;MOLUCCA SEA;2019-03-24 10:07;753165;
2019-03-23;19:21:17;4.57;-76.31;122; ;Mw;6.1;COLOMBIA;2019-03-24 09:32;753079;
2019-03-20;15:24:00;-15.61;167.68;134; ;Mw;6.2;VANUATU;2019-03-20 15:46;752280;
2019-03-15;05:03:49;-17.85;-65.86;358; ;Mw;6.3;COCHABAMBA, BOLIVIA;2019-03-15 07:53;750930;
2019-03-10;12:48:00;-10.11;152.06;10;f;Mw;6.1;D'ENTRECASTEAUX ISLANDS REGION;2019-03-10 14:08;749843;
2019-03-10;08:12:24;-17.93;-178.60;561; ;Mw;6.2;FIJI REGION;2019-03-10 14:16;749801;
2019-03-08;15:06:14;10.43;126.04;40; ;Mw;6.0;PHILIPPINE ISLANDS REGION;2019-03-08 15:34;749496;
2019-03-06;15:46:11;-32.13;-177.79;10; ;Mw;6.3;SOUTH OF KERMADEC ISLANDS;2019-03-06 16:15;749018;
2019-03-02;03:22:52;41.93;146.99;10; ;Mw;6.0;OFF COAST OF HOKKAIDO, JAPAN;2019-03-02 11:29;748092;
2019-03-01;08:50:44;-14.80;-70.09;286; ;Mw;7.0;SOUTHERN PERU;2019-03-01 14:10;747936;
2019-02-22;10:17:22;-2.13;-76.98;140; ;Mw;7.5;PERU-ECUADOR BORDER REGION;2019-02-22 10:42;746609;
2019-02-17;14:35:56;-3.40;152.14;371; ;Mw;6.5;NEW IRELAND REGION, P.N.G.;2019-02-17 16:23;745579;
2019-02-14;19:57:06;35.41;-36.28;10; ;Mw;6.1;NORTHERN MID-ATLANTIC RIDGE;2019-02-14 20:19;745008;
2019-02-02;10:59:30;-2.78;100.22;16; ;Mw;6.1;KEP. MENTAWAI REGION, INDONESIA;2019-02-02 12:32;742420;
2019-02-02;09:27:35;-2.73;100.16;10; ;Mw;6.1;KEP. MENTAWAI REGION, INDONESIA;2019-02-02 17:21;742400;
2019-02-01;16:14:12;14.86;-92.20;70;f;Mw;6.6;CHIAPAS, MEXICO;2019-02-01 16:37;742270;
2019-01-26;19:56:43;-21.18;-178.85;585; ;Mw;6.2;FIJI REGION;2019-01-27 08:54;741038;
2019-01-26;03:51:38;-7.05;156.27;368; ;Mw;6.2;SOLOMON ISLANDS;2019-01-26 08:45;740900;
2019-01-22;19:01:44;-43.09;42.21;10;f;Mw;6.7;PRINCE EDWARD ISLANDS REGION;2019-01-22 19:20;740217;
2019-01-22;05:10:03;-10.47;119.03;27; ;Mw;6.4;SUMBA REGION, INDONESIA;2019-01-22 17:13;740042;
2019-01-21;23:59:22;-10.31;119.15;17; ;Mw;6.0;SUMBA REGION, INDONESIA;2019-01-22 17:10;740036;
2019-01-20;01:32:51;-30.07;-71.30;55; ;Mw;6.7;COQUIMBO, CHILE;2019-01-22 16:45;740028;
2019-01-18;16:40:42;8.33;-103.42;10;f;Mw;6.0;NORTHERN EAST PACIFIC RISE;2019-01-19 08:24;739845;
2019-01-17;15:06:35;-3.30;146.36;10;f;Mw;6.1;BISMARCK SEA;2019-01-17 15:33;739599;
2019-01-15;18:06:37;-13.28;166.81;60; ;Mw;6.6;VANUATU;2019-01-17 09:40;739156;
2019-01-08;12:39:29;30.58;131.08;25; ;Mw;6.3;KYUSHU, JAPAN;2019-01-08 13:08;737627;
2019-01-06;17:27:18;2.30;126.77;40;f;Mw;6.6;MOLUCCA SEA;2019-01-06 20:40;737219;
2019-01-05;19:25:39;-8.16;-71.64;590; ;Mw;6.8;ACRE, BRAZIL;2019-01-05 20:43;737028;
2019-01-05;18:47:11;51.44;-178.26;30;f;Mw;6.0;ANDREANOF ISLANDS, ALEUTIAN IS.;2019-01-05 20:48;737015;
